,user_id,install_date,last_active_date,subscription_type,country,total_sessions,page_views,download_clicks,activation_status,days_active,pro_upgrade_date,plan_type,monthly_revenue,churned
96,97,2023-05-28,2023-11-26,Pro,UK,153,459,0,1,182,2023-11-26,Standard,99,0
97,98,2023-09-20,2023-11-16,Pro,Germany,171,342,0,1,57,2023-11-16,Enterprise,29,0
98,99,2023-03-16,2023-07-10,Pro,Australia,121,121,1,1,116,2023-07-10,Basic,29,0
99,100,2023-07-05,2023-11-07,Free,Australia,56,56,0,1,125,,free,0,0
100,101,2023-06-16,2023-10-30,Free,Germany,140,280,0,1,136,,free,0,0
101,102,2023-06-12,2023-11-26,Free,Australia,115,460,0,1,167,,free,0,0
102,103,2023-02-27,2023-09-28,Free,France,100,200,0,1,213,,free,0,0
103,104,2023-12-09,2023-12-23,Free,Germany,57,171,0,1,14,,free,0,1
104,105,2023-10-08,2023-10-31,Free,India,142,284,1,1,23,,free,0,1
105,106,2023-05-16,2023-08-23,Free,Australia,22,88,0,1,99,,free,0,0
106,107,2023-01-10,2024-01-01,Free,UK,129,387,0,1,356,,free,0,0
107,108,2023-08-17,2023-08-24,Free,USA,92,92,0,1,7,,free,0,1
108,109,2023-10-02,2023-11-10,Free,UK,131,131,0,1,39,,free,0,0
109,110,2023-09-15,2023-10-01,Free,UK,18,72,0,1,16,,free,0,1
110,111,2023-02-09,2023-12-09,Free,USA,30,30,0,1,303,,free,0,0
111,112,2023-09-27,2023-10-12,Free,Germany,87,87,0,1,15,,free,0,1
112,113,2023-01-24,2023-12-29,Free,Australia,142,426,1,1,339,,free,0,0
113,114,2023-06-07,2023-08-03,Free,France,25,125,0,1,57,,free,0,0
114,115,2023-09-03,2023-09-25,Pro,India,68,272,1,1,22,2023-09-25,Basic,99,1
115,116,2023-08-09,2023-10-16,Free,France,7,35,0,1,68,,free,0,0
116,117,2023-08-12,2023-09-07,Free,USA,123,615,0,1,26,,free,0,1
117,118,2023-12-08,2023-12-23,Free,France,135,675,0,1,15,,free,0,1
118,119,2023-09-28,2023-12-04,Pro,Germany,180,180,0,1,67,2023-12-04,Basic,49,0
119,120,2023-03-22,2023-06-23,Pro,UK,282,1410,0,1,93,2023-06-23,Basic,29,0
120,121,2023-09-22,2023-11-06,Free,Germany,45,90,0,1,45,,free,0,0
121,122,2023-11-23,2023-12-05,Free,USA,3,9,0,1,12,,free,0,1
122,123,2023-12-12,2023-12-30,Free,India,81,81,0,1,18,,free,0,1
123,124,2023-03-30,2023-04-19,Free,France,99,99,0,1,20,,free,0,1
124,125,2023-05-08,2023-07-07,Pro,Australia,175,875,0,1,60,2023-07-07,Enterprise,99,0
125,126,2023-03-17,2023-07-12,Free,Australia,71,142,0,1,117,,free,0,0
126,127,2023-01-12,2023-05-08,Free,India,145,290,0,1,116,,free,0,0
127,128,2023-01-27,2023-03-20,Free,Australia,148,444,0,1,52,,free,0,0
128,129,2023-02-20,2024-01-01,Free,Canada,124,620,0,1,315,,free,0,0
129,130,2023-04-05,2023-08-01,Free,Canada,102,510,0,1,118,,free,0,0
130,131,2023-03-13,2023-12-14,Pro,Canada,137,137,0,1,276,2023-12-14,Enterprise,49,0
131,132,2023-12-25,2023-12-28,Free,Canada,35,140,0,1,3,,free,0,1
132,133,2023-05-20,2023-10-21,Free,USA,54,162,0,1,154,,free,0,0
133,134,2023-11-12,2023-12-13,Pro,France,230,920,0,1,31,2023-12-13,Enterprise,99,0
134,135,2023-04-10,2023-07-09,Free,Germany,39,78,0,1,90,,free,0,0
135,136,2023-01-24,2023-03-25,Free,USA,73,73,1,1,60,,free,0,0
136,137,2023-08-01,2023-09-15,Free,USA,36,72,0,1,45,,free,0,0
137,138,2023-07-23,2023-08-11,Free,Australia,41,164,0,1,19,,free,0,1
138,139,2023-11-20,2023-11-26,Free,Australia,52,104,0,1,6,,free,0,1
139,140,2023-10-15,2023-12-23,Pro,Germany,235,470,0,1,69,2023-12-23,Basic,49,0
140,141,2023-08-03,2023-11-27,Free,Germany,30,60,1,1,116,,free,0,0
141,142,2023-10-21,2023-12-12,Free,Canada,112,560,0,1,52,,free,0,0
142,143,2023-05-03,2023-06-17,Free,Australia,114,228,1,1,45,,free,0,0
143,144,2023-06-30,2023-11-24,Free,India,16,80,0,1,147,,free,0,0
144,145,2023-03-29,2023-08-09,Free,Australia,59,236,0,1,133,,free,0,0
145,146,2023-06-19,2023-11-16,Free,Australia,13,65,0,1,150,,free,0,0
146,147,2023-09-27,2023-11-24,Free,Australia,72,360,0,1,58,,free,0,0
147,148,2023-04-06,2023-06-29,Pro,Australia,13,52,0,1,84,2023-06-29,Enterprise,99,0
148,149,2023-05-16,2023-07-01,Free,India,44,176,0,1,46,,free,0,0
149,150,2023-02-28,2023-07-14,Free,Australia,17,34,0,1,136,,free,0,0
150,151,2023-04-17,2023-05-12,Free,Germany,114,570,1,1,25,,free,0,1
151,152,2023-04-12,2023-10-18,Free,Australia,33,99,0,1,189,,free,0,0
152,153,2023-05-30,2023-10-29,Free,UK,121,484,0,1,152,,free,0,0
153,154,2023-05-12,2023-12-07,Free,USA,17,85,0,1,209,,free,0,0
154,155,2023-01-26,2023-01-26,Pro,Germany,62,186,0,1,0,2023-01-26,Standard,49,1
155,156,2023-10-30,2023-12-28,Free,USA,148,444,0,1,59,,free,0,0
156,157,2023-06-27,2023-11-16,Free,Canada,50,200,0,1,142,,free,0,0
157,158,2023-05-21,2023-07-01,Free,India,50,200,0,1,41,,free,0,0
158,159,2023-06-21,2023-10-20,Free,Australia,59,236,0,1,121,,free,0,0
159,160,2023-06-04,2023-07-06,Free,Germany,71,355,1,1,32,,free,0,0
160,161,2023-01-04,2023-05-13,Free,Australia,100,500,0,1,129,,free,0,0
161,162,2023-01-01,2023-11-09,Free,UK,86,344,0,1,312,,free,0,0
162,163,2023-01-10,2023-07-03,Pro,France,29,29,0,1,174,2023-07-03,Standard,29,0
163,164,2023-11-16,2023-12-14,Free,India,1,5,1,0,28,,free,0,1
164,165,2023-03-10,2023-11-03,Free,Germany,72,288,1,1,238,,free,0,0
165,166,2023-11-05,2023-11-11,Free,UK,83,332,0,1,6,,free,0,1
166,167,2023-09-02,2023-10-22,Free,India,145,725,0,1,50,,free,0,0
167,168,2023-06-24,2023-11-30,Free,France,132,396,0,1,159,,free,0,0
168,169,2023-05-26,2023-07-06,Free,India,46,92,0,1,41,,free,0,0
169,170,2023-06-08,2023-07-16,Free,India,63,252,0,1,38,,free,0,0
170,171,2023-09-08,2023-10-16,Free,UK,32,128,0,1,38,,free,0,0
171,172,2023-11-01,2023-11-16,Free,USA,6,18,1,1,15,,free,0,1
172,173,2023-04-23,2023-05-19,Free,Germany,102,204,0,1,26,,free,0,1
173,174,2023-06-05,2023-11-02,Pro,Germany,259,1295,0,1,150,2023-11-02,Enterprise,29,0
174,175,2023-07-02,2023-10-25,Free,Germany,7,7,1,1,115,,free,0,0
175,176,2023-11-03,2023-11-28,Free,India,92,368,0,1,25,,free,0,1
176,177,2023-10-16,2023-10-23,Free,Germany,92,92,0,1,7,,free,0,1
177,178,2023-10-01,2023-10-09,Free,UK,129,516,0,1,8,,free,0,1
178,179,2023-06-16,2023-07-18,Pro,India,181,181,1,1,32,2023-07-18,Enterprise,49,0
179,180,2023-07-08,2023-11-04,Free,India,91,455,0,1,119,,free,0,0
180,181,2023-08-17,2023-12-09,Free,USA,53,212,0,1,114,,free,0,0
181,182,2023-02-20,2023-03-28,Pro,Germany,32,128,0,1,36,2023-03-28,Enterprise,49,0
182,183,2023-02-10,2023-06-20,Free,Australia,28,112,0,1,130,,free,0,0
183,184,2023-06-05,2023-10-21,Free,India,145,290,0,1,138,,free,0,0
184,185,2023-11-30,2023-12-21,Free,Canada,98,490,0,1,21,,free,0,1
185,186,2023-06-28,2023-11-07,Free,France,6,24,0,1,132,,free,0,0
186,187,2023-05-31,2023-11-13,Free,Australia,19,95,0,1,166,,free,0,0
187,188,2023-05-21,2023-10-24,Pro,France,213,213,0,1,156,2023-10-24,Basic,49,0
188,189,2023-10-02,2023-11-30,Pro,France,300,1500,0,1,59,2023-11-30,Enterprise,49,0
189,190,2023-03-21,2023-05-17,Free,USA,26,26,0,1,57,,free,0,0
190,191,2023-10-09,2023-11-13,Free,USA,88,352,1,1,35,,free,0,0
191,192,2023-01-25,2023-11-10,Free,UK,138,138,0,1,289,,free,0,0
192,193,2023-10-01,2023-12-07,Free,India,17,17,0,1,67,,free,0,0
193,194,2023-01-03,2023-10-30,Pro,India,270,810,0,1,300,2023-10-30,Enterprise,99,0
194,195,2023-06-20,2023-12-13,Pro,India,280,560,0,1,176,2023-12-13,Enterprise,29,0
195,196,2023-08-04,2023-11-20,Pro,USA,238,238,1,1,108,2023-11-20,Enterprise,49,0
196,197,2023-11-24,2023-12-30,Free,USA,129,516,0,1,36,,free,0,0
197,198,2023-06-17,2023-11-08,Free,Australia,72,360,0,1,144,,free,0,0
198,199,2023-09-08,2023-11-14,Free,Australia,112,112,0,1,67,,free,0,0
199,200,2023-09-01,2023-09-03,Free,UK,105,420,0,1,2,,free,0,1
200,201,2023-10-20,2023-12-20,Pro,India,258,258,0,1,61,2023-12-20,Standard,29,0
201,202,2023-04-03,2023-10-03,Free,USA,148,296,0,1,183,,free,0,0
202,203,2023-08-02,2023-10-20,Free,UK,2,8,0,0,79,,free,0,0
203,204,2023-06-29,2023-12-16,Free,USA,127,127,0,1,170,,free,0,0
204,205,2023-10-18,2023-12-08,Free,UK,131,393,0,1,51,,free,0,0
205,206,2023-01-18,2023-10-23,Free,Canada,117,234,0,1,278,,free,0,0
206,207,2023-06-14,2023-08-22,Free,India,81,405,0,1,69,,free,0,0
207,208,2023-01-08,2023-04-26,Free,Australia,88,352,1,1,108,,free,0,0
208,209,2023-05-14,2023-06-06,Free,France,21,42,0,1,23,,free,0,1
209,210,2023-12-05,2024-01-01,Free,UK,94,470,0,1,27,,free,0,1
210,211,2023-01-13,2023-09-14,Pro,USA,129,645,0,1,244,2023-09-14,Enterprise,29,0
211,212,2023-10-28,2023-11-09,Pro,France,114,228,0,1,12,2023-11-09,Standard,29,1
212,213,2023-07-15,2023-10-22,Free,Australia,49,49,0,1,99,,free,0,0
213,214,2023-09-09,2023-11-13,Free,UK,130,650,0,1,65,,free,0,0
214,215,2023-11-19,2023-12-15,Free,USA,31,155,0,1,26,,free,0,1
215,216,2023-10-19,2023-11-19,Pro,Germany,102,204,0,1,31,2023-11-19,Standard,99,0
216,217,2023-05-31,2023-08-31,Free,UK,17,51,0,1,92,,free,0,0
217,218,2023-01-10,2023-05-12,Pro,Canada,187,748,1,1,122,2023-05-12,Basic,49,0
218,219,2023-04-28,2023-12-08,Pro,Canada,175,700,0,1,224,2023-12-08,Enterprise,29,0
219,220,2023-07-07,2023-10-29,Free,Germany,149,745,0,1,114,,free,0,0
220,221,2023-02-14,2023-04-21,Free,USA,8,40,0,1,66,,free,0,0
221,222,2023-02-03,2023-11-08,Free,USA,145,145,0,1,278,,free,0,0
222,223,2023-12-10,2023-12-31,Free,France,34,68,0,1,21,,free,0,1
223,224,2023-12-12,2023-12-31,Pro,UK,208,624,0,1,19,2023-12-31,Enterprise,49,1
224,225,2023-12-29,2024-01-01,Pro,Australia,81,81,0,1,3,2024-01-01,Basic,99,1
225,226,2023-05-25,2023-11-26,Free,USA,106,212,0,1,185,,free,0,0
226,227,2023-03-21,2023-07-13,Free,Germany,21,84,0,1,114,,free,0,0
227,228,2023-07-05,2023-10-31,Free,Australia,16,80,1,1,118,,free,0,0
228,229,2023-09-13,2023-09-14,Pro,USA,31,62,1,1,1,2023-09-14,Basic,99,1
229,230,2023-01-15,2023-05-09,Free,Germany,28,56,0,1,114,,free,0,0
230,231,2023-10-17,2023-12-27,Free,UK,91,455,0,1,71,,free,0,0
231,232,2023-12-13,2023-12-27,Pro,Canada,118,354,0,1,14,2023-12-27,Enterprise,49,1
232,233,2023-01-27,2023-06-29,Free,India,53,265,0,1,153,,free,0,0
233,234,2023-04-21,2023-08-01,Free,USA,134,402,0,1,102,,free,0,0
234,235,2023-04-20,2023-12-05,Free,India,126,252,0,1,229,,free,0,0
235,236,2023-11-30,2023-12-16,Pro,France,68,272,0,1,16,2023-12-16,Standard,49,1
236,237,2023-11-27,2023-12-19,Free,USA,117,117,0,1,22,,free,0,1
237,238,2023-04-23,2023-09-10,Free,Australia,50,150,0,1,140,,free,0,0
238,239,2023-06-15,2023-12-28,Free,Germany,91,182,0,1,196,,free,0,0
239,240,2023-06-26,2023-07-08,Free,India,148,148,0,1,12,,free,0,1
240,241,2023-05-01,2023-11-01,Free,France,150,600,0,1,184,,free,0,0
241,242,2023-09-24,2023-12-15,Free,Canada,48,192,1,1,82,,free,0,0
242,243,2023-07-22,2023-08-12,Free,USA,104,416,0,1,21,,free,0,1
243,244,2023-12-14,2023-12-22,Free,India,2,6,0,0,8,,free,0,1
244,245,2023-05-24,2023-08-29,Pro,India,246,738,0,1,97,2023-08-29,Standard,49,0
245,246,2023-05-03,2023-10-31,Free,Canada,112,336,0,1,181,,free,0,0
246,247,2023-04-24,2023-12-19,Free,USA,81,81,0,1,239,,free,0,0
247,248,2023-03-23,2023-12-11,Free,India,16,32,0,1,263,,free,0,0
248,249,2023-02-08,2023-06-04,Free,UK,103,515,0,1,116,,free,0,0
249,250,2023-12-12,2024-01-01,Free,Australia,124,248,0,1,20,,free,0,1
250,251,2023-04-23,2023-09-16,Pro,UK,117,351,0,1,146,2023-09-16,Basic,49,0
251,252,2023-08-27,2023-10-12,Free,UK,109,436,0,1,46,,free,0,0
252,253,2023-09-23,2023-12-27,Free,Canada,103,309,0,1,95,,free,0,0
253,254,2023-10-12,2023-10-25,Free,India,127,508,0,1,13,,free,0,1
254,255,2023-12-16,2023-12-22,Free,Germany,18,72,0,1,6,,free,0,1
255,256,2023-06-22,2023-07-07,Free,France,51,51,0,1,15,,free,0,1
256,257,2023-07-05,2023-09-13,Free,France,101,101,0,1,70,,free,0,0
257,258,2023-03-04,2023-12-16,Free,India,117,117,0,1,287,,free,0,0
258,259,2023-10-28,2023-11-16,Free,Germany,125,625,1,1,19,,free,0,1
259,260,2023-12-08,2023-12-18,Free,Australia,113,339,0,1,10,,free,0,1
260,261,2023-02-19,2023-10-04,Free,India,38,76,0,1,227,,free,0,0
261,262,2023-05-18,2023-07-25,Free,France,29,145,0,1,68,,free,0,0
262,263,2023-07-26,2023-12-25,Free,France,113,339,0,1,152,,free,0,0
263,264,2023-03-25,2023-09-01,Free,Australia,31,155,0,1,160,,free,0,0
264,265,2023-07-18,2023-10-24,Free,Germany,38,190,1,1,98,,free,0,0
265,266,2023-10-04,2023-10-30,Free,Australia,52,208,0,1,26,,free,0,1
266,267,2023-04-10,2023-07-04,Free,USA,115,460,1,1,85,,free,0,0
267,268,2023-09-26,2023-12-05,Free,France,88,176,0,1,70,,free,0,0
268,269,2023-05-26,2023-08-06,Free,UK,42,210,0,1,72,,free,0,0
269,270,2023-09-17,2023-10-15,Free,USA,119,476,0,1,28,,free,0,1
270,271,2023-07-09,2023-10-06,Free,France,59,295,0,1,89,,free,0,0
271,272,2023-11-02,2023-11-21,Free,Germany,10,40,0,1,19,,free,0,1
272,273,2023-01-10,2023-07-15,Free,India,94,470,0,1,186,,free,0,0
273,274,2023-02-08,2023-12-21,Free,Australia,26,104,0,1,316,,free,0,0
274,275,2023-09-26,2023-10-14,Free,UK,76,76,0,1,18,,free,0,1
275,276,2023-09-29,2023-12-20,Free,India,150,600,0,1,82,,free,0,0
276,277,2023-09-29,2023-10-23,Free,Canada,12,12,0,1,24,,free,0,1
277,278,2023-11-11,2023-12-06,Free,India,93,93,0,1,25,,free,0,1
278,279,2023-10-15,2023-12-04,Free,Australia,33,66,0,1,50,,free,0,0
279,280,2023-07-02,2023-12-16,Pro,Canada,173,173,0,1,167,2023-12-16,Standard,49,0
280,281,2023-05-24,2023-08-22,Pro,Canada,69,138,0,1,90,2023-08-22,Basic,49,0
281,282,2023-06-11,2023-09-10,Pro,France,114,570,0,1,91,2023-09-10,Enterprise,99,0
282,283,2023-04-05,2023-08-29,Pro,France,124,124,0,1,146,2023-08-29,Enterprise,29,0
283,284,2023-03-21,2023-12-21,Free,India,82,328,0,1,275,,free,0,0
284,285,2023-06-24,2023-11-09,Free,Germany,46,138,0,1,138,,free,0,0
285,286,2023-09-27,2023-12-29,Free,UK,34,68,1,1,93,,free,0,0
286,287,2023-09-30,2023-10-16,Free,USA,121,363,0,1,16,,free,0,1
287,288,2023-08-15,2023-08-28,Pro,India,151,302,0,1,13,2023-08-28,Enterprise,49,1
288,289,2023-03-23,2023-04-24,Free,Australia,144,144,0,1,32,,free,0,0
289,290,2023-12-27,2023-12-31,Free,USA,109,109,0,1,4,,free,0,1
290,291,2023-06-23,2023-10-18,Free,France,141,282,0,1,117,,free,0,0
291,292,2023-01-19,2023-03-25,Free,India,126,378,0,1,65,,free,0,0
292,293,2023-03-27,2023-09-30,Free,France,114,342,0,1,187,,free,0,0
293,294,2023-12-12,2023-12-14,Free,USA,96,480,0,1,2,,free,0,1
294,295,2023-01-18,2023-01-26,Pro,Australia,43,129,0,1,8,2023-01-26,Enterprise,99,1
295,296,2023-05-30,2023-12-14,Pro,Germany,115,345,0,1,198,2023-12-14,Enterprise,99,0
296,297,2023-06-26,2023-11-19,Pro,Australia,286,1430,1,1,146,2023-11-19,Basic,49,0
297,298,2023-10-29,2023-11-10,Free,France,23,23,0,1,12,,free,0,1
298,299,2023-09-24,2023-10-22,Free,Canada,122,610,1,1,28,,free,0,1
299,300,2023-07-05,2023-12-24,Free,UK,138,552,1,1,172,,free,0,0
300,301,2023-01-24,2023-07-09,Free,Germany,24,24,0,1,166,,free,0,0
301,302,2023-07-15,2023-10-12,Pro,Canada,287,1435,1,1,89,2023-10-12,Enterprise,99,0
302,303,2023-12-25,2024-01-01,Free,USA,68,204,0,1,7,,free,0,1
303,304,2023-07-20,2023-08-16,Free,India,88,176,0,1,27,,free,0,1
304,305,2023-06-29,2023-07-10,Pro,Australia,269,807,0,1,11,2023-07-10,Basic,49,1
305,306,2023-05-30,2023-12-06,Free,France,14,56,0,1,190,,free,0,0
306,307,2023-12-16,2024-01-01,Free,Australia,135,405,0,1,16,,free,0,1
307,308,2023-05-07,2023-09-17,Free,UK,61,305,0,1,133,,free,0,0
308,309,2023-12-20,2023-12-31,Pro,Australia,186,372,1,1,11,2023-12-31,Standard,29,1
309,310,2023-10-27,2023-11-20,Free,India,5,25,0,1,24,,free,0,1
310,311,2023-07-13,2023-11-02,Free,Canada,26,52,0,1,112,,free,0,0
311,312,2023-02-05,2023-02-20,Free,USA,86,172,0,1,15,,free,0,1
312,313,2023-04-17,2023-07-25,Free,France,72,72,0,1,99,,free,0,0
313,314,2023-12-31,2023-12-31,Free,Germany,35,175,1,1,0,,free,0,1
314,315,2023-11-02,2023-12-31,Free,Australia,46,92,0,1,59,,free,0,0
315,316,2023-06-23,2023-12-04,Free,UK,10,50,0,1,164,,free,0,0
316,317,2023-04-13,2023-08-22,Free,USA,103,309,1,1,131,,free,0,0
317,318,2023-08-25,2023-12-24,Free,Germany,7,14,0,1,121,,free,0,0
318,319,2023-05-23,2023-10-05,Free,Germany,72,144,1,1,135,,free,0,0
319,320,2023-05-02,2023-08-27,Free,India,144,144,0,1,117,,free,0,0
320,321,2023-11-14,2023-12-03,Free,Australia,133,665,0,1,19,,free,0,1
321,322,2023-12-18,2023-12-26,Free,France,103,309,0,1,8,,free,0,1
322,323,2023-06-14,2023-12-08,Free,Canada,67,268,0,1,177,,free,0,0
